modern_iso3,country,year,season
AND,Andorra,1994,Winter
ARG,Argentina,1994,Winter
ARM,Armenia,1994,Winter
ASM,American Samoa,1994,Winter
AUS,Australia,1994,Winter
AUT,Austria,1994,Winter
BEL,Belgium,1994,Winter
BGR,Bulgaria,1994,Winter
BIH,Bosnia and Herzegovina,1994,Winter
BLR,Belarus,1994,Winter
BMU,Bermuda,1994,Winter
BRA,Brazil,1994,Winter
CAN,Canada,1994,Winter
CHE,Switzerland,1994,Winter
CHL,Chile,1994,Winter
CHN,China,1994,Winter
CYP,Cyprus,1994,Winter
CZE,Czech Republic,1994,Winter
DEU,Germany,1994,Winter
DNK,Denmark,1994,Winter
ESP,Spain,1994,Winter
EST,Estonia,1994,Winter
FIN,Finland,1994,Winter
FJI,Fiji,1994,Winter
FRA,France,1994,Winter
GBR,United Kingdom,1994,Winter
GEO,Georgia,1994,Winter
GRC,Greece,1994,Winter
HRV,Croatia,1994,Winter
HUN,Hungary,1994,Winter
ISL,Iceland,1994,Winter
ISR,Israel,1994,Winter
ITA,Italy,1994,Winter
JAM,Jamaica,1994,Winter
JPN,Japan,1994,Winter
KAZ,Kazakhstan,1994,Winter
KGZ,Kyrgyzstan,1994,Winter
KOR,South Korea,1994,Winter
LIE,Liechtenstein,1994,Winter
LTU,Lithuania,1994,Winter
LUX,Luxembourg,1994,Winter
LVA,Latvia,1994,Winter
MCO,Monaco,1994,Winter
MDA,Moldova,1994,Winter
MEX,Mexico,1994,Winter
MNG,Mongolia,1994,Winter
NLD,Netherlands,1994,Winter
NOR,Norway,1994,Winter
NZL,New Zealand,1994,Winter
POL,Poland,1994,Winter
PRI,Puerto Rico,1994,Winter
PRT,Portugal,1994,Winter
ROU,Romania,1994,Winter
RUS,Russia,1994,Winter
SEN,Senegal,1994,Winter
SMR,San Marino,1994,Winter
SVK,Slovakia,1994,Winter
SVN,Slovenia,1994,Winter
SWE,Sweden,1994,Winter
TTO,Trinidad and Tobago,1994,Winter
TUR,Turkey,1994,Winter
TWN,Taiwan,1994,Winter
UKR,Ukraine,1994,Winter
USA,United States,1994,Winter
UZB,Uzbekistan,1994,Winter
VIR,US Virgin Islands,1994,Winter
ZAF,South Africa,1994,Winter
ABW,Aruba,1996,Summer
AFG,Afghanistan,1996,Summer
AGO,Angola,1996,Summer
ALB,Albania,1996,Summer
AND,Andorra,1996,Summer
ARE,United Arab Emirates,1996,Summer
ARG,Argentina,1996,Summer
ARM,Armenia,1996,Summer
ASM,American Samoa,1996,Summer
ATG,Antigua and Barbuda,1996,Summer
AUS,Australia,1996,Summer
AUT,Austria,1996,Summer
AZE,Azerbaijan,1996,Summer
BDI,Burundi,1996,Summer
BEL,Belgium,1996,Summer
BEN,Benin,1996,Summer
BFA,Burkina Faso,1996,Summer
BGD,Bangladesh,1996,Summer
BGR,Bulgaria,1996,Summer
BHR,Bahrain,1996,Summer
BHS,Bahamas,1996,Summer
BIH,Bosnia and Herzegovina,1996,Summer
BLR,Belarus,1996,Summer
BLZ,Belize,1996,Summer
BMU,Bermuda,1996,Summer
BOL,Bolivia,1996,Summer
BRA,Brazil,1996,Summer
BRB,Barbados,1996,Summer
BRN,Brunei,1996,Summer
BTN,Bhutan,1996,Summer
BWA,Botswana,1996,Summer
CAF,Central African Republic,1996,Summer
CAN,Canada,1996,Summer
CHE,Switzerland,1996,Summer
CHL,Chile,1996,Summer
CHN,China,1996,Summer
CIV,Ivory Coast,1996,Summer
CMR,Cameroon,1996,Summer
COD,DR Congo,1996,Summer
COG,Congo,1996,Summer
COK,Cook Islands,1996,Summer
COL,Colombia,1996,Summer
COM,Comoros,1996,Summer
CPV,Cape Verde,1996,Summer
CRI,Costa Rica,1996,Summer
CUB,Cuba,1996,Summer
CUW,Netherlands Antilles,1996,Summer
