modern_iso3,country,gold,silver,bronze,total
CAN,Canada,280,174,140,594
DEU,Germany,182,184,99,465
RUS,Russia,164,178,129,471
NOR,Norway,151,118,95,364
USA,United States,126,245,133,504
SWE,Sweden,111,99,69,279
AUT,Austria,75,67,85,227
KOR,South Korea,75,61,19,155
CHE,Switzerland,67,47,81,195
JPN,Japan,52,53,49,154
NLD,Netherlands,51,38,49,138
ITA,Italy,45,52,80,177
FIN,Finland,40,66,206,312
CHN,China,38,54,50,142
FRA,France,36,50,85,171
CZE,Czech Republic,34,20,46,100
GBR,United Kingdom,12,15,24,51
BLR,Belarus,12,7,6,25
SVN,Slovenia,11,18,18,47
POL,Poland,7,12,15,34
AUS,Australia,7,9,11,27
UKR,Ukraine,7,6,8,21
EST,Estonia,7,4,3,14
HUN,Hungary,7,3,10,20
LVA,Latvia,6,9,23,38
SVK,Slovakia,5,7,42,54
HRV,Croatia,4,6,2,12
ESP,Spain,3,2,8,13
NZL,New Zealand,3,2,6,11
BEL,Belgium,3,1,2,6
GEO,Georgia,2,0,2,4
ROU,Romania,2,0,1,3
KAZ,Kazakhstan,1,4,6,11
BGR,Bulgaria,1,2,3,6
HKG,Hong Kong,1,0,1,2
LUX,Luxembourg,1,0,0,1
MAR,Morocco,1,0,0,1
MEX,Mexico,1,0,0,1
UZB,Uzbekistan,1,0,0,1
DNK,Denmark,0,5,1,6
TWN,Taiwan,0,3,0,3
ISR,Israel,0,1,1,2
COL,Colombia,0,1,0,1
SRB,Serbia,0,1,0,1
LIE,Liechtenstein,0,0,2,2
AND,Andorra,0,0,1,1
LTU,Lithuania,0,0,1,1
MCO,Monaco,0,0,1,1
TUR,Turkey,0,0,1,1
