iso3,country,year,season
AUS,Australia,1896,Summer
AUT,Austria,1896,Summer
BEL,Belgium,1896,Summer
BGR,Bulgaria,1896,Summer
CHE,Switzerland,1896,Summer
DNK,Denmark,1896,Summer
FRA,France,1896,Summer
GBR,United Kingdom,1896,Summer
GRC,Greece,1896,Summer
HUN,Hungary,1896,Summer
ITA,Italy,1896,Summer
SWE,Sweden,1896,Summer
USA,United States,1896,Summer
ARG,Argentina,1900,Summer
AUS,Australia,1900,Summer
AUT,Austria,1900,Summer
BEL,Belgium,1900,Summer
CHE,Switzerland,1900,Summer
CUB,Cuba,1900,Summer
DNK,Denmark,1900,Summer
ESP,Spain,1900,Summer
FRA,France,1900,Summer
GBR,United Kingdom,1900,Summer
GRC,Greece,1900,Summer
HTI,Haiti,1900,Summer
HUN,Hungary,1900,Summer
IND,India,1900,Summer
IRN,Iran,1900,Summer
ITA,Italy,1900,Summer
MEX,Mexico,1900,Summer
NLD,Netherlands,1900,Summer
NOR,Norway,1900,Summer
PER,Peru,1900,Summer
ROU,Romania,1900,Summer
SWE,Sweden,1900,Summer
USA,United States,1900,Summer
AUS,Australia,1904,Summer
CAN,Canada,1904,Summer
CUB,Cuba,1904,Summer
GBR,United Kingdom,1904,Summer
GRC,Greece,1904,Summer
HUN,Hungary,1904,Summer
ITA,Italy,1904,Summer
USA,United States,1904,Summer
ZAF,South Africa,1904,Summer
ARG,Argentina,1908,Summer
AUT,Austria,1908,Summer
BEL,Belgium,1908,Summer
CAN,Canada,1908,Summer
CHE,Switzerland,1908,Summer
DNK,Denmark,1908,Summer
FIN,Finland,1908,Summer
FRA,France,1908,Summer
GBR,United Kingdom,1908,Summer
GRC,Greece,1908,Summer
HUN,Hungary,1908,Summer
ISL,Iceland,1908,Summer
ITA,Italy,1908,Summer
NLD,Netherlands,1908,Summer
NOR,Norway,1908,Summer
NZL,New Zealand,1908,Summer
SWE,Sweden,1908,Summer
TUR,Turkey,1908,Summer
USA,United States,1908,Summer
ZAF,South Africa,1908,Summer
AUT,Austria,1912,Summer
BEL,Belgium,1912,Summer
CAN,Canada,1912,Summer
CHE,Switzerland,1912,Summer
CHL,Chile,1912,Summer
DNK,Denmark,1912,Summer
EGY,Egypt,1912,Summer
FIN,Finland,1912,Summer
FRA,France,1912,Summer
GBR,United Kingdom,1912,Summer
GRC,Greece,1912,Summer
HUN,Hungary,1912,Summer
ISL,Iceland,1912,Summer
ITA,Italy,1912,Summer
JPN,Japan,1912,Summer
LUX,Luxembourg,1912,Summer
NLD,Netherlands,1912,Summer
NOR,Norway,1912,Summer
PRT,Portugal,1912,Summer
SWE,Sweden,1912,Summer
TUR,Turkey,1912,Summer
USA,United States,1912,Summer
ZAF,South Africa,1912,Summer
ARG,Argentina,1920,Summer
AUS,Australia,1920,Summer
BEL,Belgium,1920,Summer
BRA,Brazil,1920,Summer
CAN,Canada,1920,Summer
CHE,Switzerland,1920,Summer
CHL,Chile,1920,Summer
DNK,Denmark,1920,Summer
EGY,Egypt,1920,Summer
ESP,Spain,1920,Summer
FIN,Finland,1920,Summer
FRA,France,1920,Summer
GBR,United Kingdom,1920,Summer
GRC,Greece,1920,Summer
IND,India,1920,Summer
ITA,Italy,1920,Summer
JPN,Japan,1920,Summer
LUX,Luxembourg,1920,Summer
MCO,Monaco,1920,Summer
NLD,Netherlands,1920,Summer
NOR,Norway,1920,Summer
NZL,New Zealand,1920,Summer
PRT,Portugal,1920,Summer
SWE,Sweden,1920,Summer
USA,United States,1920,Summer
ZAF,South Africa,1920,Summer
ARG,Argentina,1924,Summer
AUS,Australia,1924,Summer
AUT,Austria,1924,Summer
BEL,Belgium,1924,Summer
BGR,Bulgaria,1924,Summer
BRA,Brazil,1924,Summer
CAN,Canada,1924,Summer
CHE,Switzerland,1924,Summer
CHL,Chile,1924,Summer
CUB,Cuba,1924,Summer
DNK,Denmark,1924,Summer
ECU,Ecuador,1924,Summer
EGY,Egypt,1924,Summer
ESP,Spain,1924,Summer
FIN,Finland,1924,Summer
FRA,France,1924,Summer
GBR,United Kingdom,1924,Summer
GRC,Greece,1924,Summer
HTI,Haiti,1924,Summer
HUN,Hungary,1924,Summer
IND,India,1924,Summer
IRL,Ireland,1924,Summer
ITA,Italy,1924,Summer
JPN,Japan,1924,Summer
LUX,Luxembourg,1924,Summer
MCO,Monaco,1924,Summer
MEX,Mexico,1924,Summer
NLD,Netherlands,1924,Summer
NOR,Norway,1924,Summer
NZL,New Zealand,1924,Summer
PHL,Philippines,1924,Summer
POL,Poland,1924,Summer
PRT,Portugal,1924,Summer
ROU,Romania,1924,Summer
SWE,Sweden,1924,Summer
TUR,Turkey,1924,Summer
URY,Uruguay,1924,Summer
USA,United States,1924,Summer
ZAF,South Africa,1924,Summer
AUT,Austria,1924,Winter
BEL,Belgium,1924,Winter
CAN,Canada,1924,Winter
CHE,Switzerland,1924,Winter
FIN,Finland,1924,Winter
FRA,France,1924,Winter
GBR,United Kingdom,1924,Winter
HUN,Hungary,1924,Winter
ITA,Italy,1924,Winter
NOR,Norway,1924,Winter
POL,Poland,1924,Winter
SWE,Sweden,1924,Winter
USA,United States,1924,Winter
ARG,Argentina,1928,Summer
AUS,Australia,1928,Summer
AUT,Austria,1928,Summer
BEL,Belgium,1928,Summer
BGR,Bulgaria,1928,Summer
CAN,Canada,1928,Summer
CHE,Switzerland,1928,Summer
CHL,Chile,1928,Summer
CUB,Cuba,1928,Summer
DNK,Denmark,1928,Summer
EGY,Egypt,1928,Summer
ESP,Spain,1928,Summer
FIN,Finland,1928,Summer
FRA,France,1928,Summer
GBR,United Kingdom,1928,Summer
GRC,Greece,1928,Summer
HTI,Haiti,1928,Summer
HUN,Hungary,1928,Summer
IND,India,1928,Summer
IRL,Ireland,1928,Summer
ITA,Italy,1928,Summer
JPN,Japan,1928,Summer
LUX,Luxembourg,1928,Summer
MCO,Monaco,1928,Summer
MEX,Mexico,1928,Summer
MLT,Malta,1928,Summer
NLD,Netherlands,1928,Summer
NOR,Norway,1928,Summer
NZL,New Zealand,1928,Summer
PAN,Panama,1928,Summer
PHL,Philippines,1928,Summer
POL,Poland,1928,Summer
PRT,Portugal,1928,Summer
ROU,Romania,1928,Summer
SWE,Sweden,1928,Summer
TUR,Turkey,1928,Summer
URY,Uruguay,1928,Summer
USA,United States,1928,Summer
ZAF,South Africa,1928,Summer
ZWE,Zimbabwe,1928,Summer
ARG,Argentina,1928,Winter
AUT,Austria,1928,Winter
BEL,Belgium,1928,Winter
CAN,Canada,1928,Winter
CHE,Switzerland,1928,Winter
FIN,Finland,1928,Winter
FRA,France,1928,Winter
GBR,United Kingdom,1928,Winter
HUN,Hungary,1928,Winter
ITA,Italy,1928,Winter
JPN,Japan,1928,Winter
LUX,Luxembourg,1928,Winter
MEX,Mexico,1928,Winter
NLD,Netherlands,1928,Winter
NOR,Norway,1928,Winter
POL,Poland,1928,Winter
ROU,Romania,1928,Winter
SWE,Sweden,1928,Winter
USA,United States,1928,Winter
ARG,Argentina,1932,Summer
AUS,Australia,1932,Summer
AUT,Austria,1932,Summer
BEL,Belgium,1932,Summer
BRA,Brazil,1932,Summer
CAN,Canada,1932,Summer
CHE,Switzerland,1932,Summer
CHN,China,1932,Summer
COL,Colombia,1932,Summer
DNK,Denmark,1932,Summer
ESP,Spain,1932,Summer
FIN,Finland,1932,Summer
FRA,France,1932,Summer
GBR,United Kingdom,1932,Summer
GRC,Greece,1932,Summer
HTI,Haiti,1932,Summer
HUN,Hungary,1932,Summer
IND,India,1932,Summer
IRL,Ireland,1932,Summer
ITA,Italy,1932,Summer
JPN,Japan,1932,Summer
MEX,Mexico,1932,Summer
NLD,Netherlands,1932,Summer
NOR,Norway,1932,Summer
NZL,New Zealand,1932,Summer
PHL,Philippines,1932,Summer
POL,Poland,1932,Summer
PRT,Portugal,1932,Summer
SWE,Sweden,1932,Summer
URY,Uruguay,1932,Summer
USA,United States,1932,Summer
ZAF,South Africa,1932,Summer
AUT,Austria,1932,Winter
BEL,Belgium,1932,Winter
CAN,Canada,1932,Winter
CHE,Switzerland,1932,Winter
FIN,Finland,1932,Winter
FRA,France,1932,Winter
GBR,United Kingdom,1932,Winter
HUN,Hungary,1932,Winter
ITA,Italy,1932,Winter
JPN,Japan,1932,Winter
NOR,Norway,1932,Winter
POL,Poland,1932,Winter
ROU,Romania,1932,Winter
SWE,Sweden,1932,Winter
USA,United States,1932,Winter
AFG,Afghanistan,1936,Summer
ARG,Argentina,1936,Summer
