NOC,ISO3
AFG,AFG
AHO,ANT
AIN,
ALB,ALB
ALG,DZA
AND,AND
ANG,AGO
ANT,ATG
ANZ,AUS
ARG,ARG
ARM,ARM
ARU,ABW
ASA,ASM
AUS,AUS
AUT,AUT
AZE,AZE
BAH,BHS
BAN,BGD
BAR,BRB
BDI,BDI
BEL,BEL
BEN,BEN
BER,BMU
BHU,BTN
BIH,BIH
BIZ,BLZ
BLR,BLR
BOH,CZE
BOL,BOL
BOT,BWA
BRA,BRA
BRN,BHR
BRU,BRN
BUL,BGR
BUR,BFA
BWI,JAM
CAF,CAF
CAM,KHM
CAN,CAN
CAY,CYM
CGO,COG
CHA,TCD
CHI,CHL
CHN,CHN
CIV,CIV
CMR,CMR
COD,COD
COK,COK
COL,COL
COM,COM
COR,KOR
CPV,CPV
CRC,CRI
CRO,HRV
CUB,CUB
CYP,CYP
CZE,CZE
DEN,DNK
DJI,DJI
DMA,DMA
DOM,DOM
ECU,ECU
EGY,EGY
EOR,
ERI,ERI
ESA,SLV
ESP,ESP
EST,EST
ETH,ETH
EUN,RUS
FIJ,FJI
FIN,FIN
FRA,FRA
FRG,DEU
FSM,FSM
GAB,GAB
GAM,GMB
GBR,GBR
GBS,GNB
GDR,DEU
GEO,GEO
GER,DEU
GHA,GHA
GRE,GRC
GRN,GRD
GUA,GTM
GUI,GIN
GUM,GUM
GUY,GUY
HAI,HTI
HKG,HKG
HON,HND
HUN,HUN
INA,IDN
IND,IND
IRI,IRN
IRL,IRL
IRQ,IRQ
ISL,ISL
ISR,ISR
ISV,VIR
ITA,ITA
IVB,VGB
JAM,JAM
JOR,JOR
JPN,JPN
KAZ,KAZ
KEN,KEN
KGZ,KGZ
KIR,KIR
KOR,KOR
KOS,XKX
KSA,SAU
KUW,KWT
LAO,LAO
LAT,LVA
LBA,LBY
LBN,LBN
LBR,LBR
LCA,LCA
LES,LSO
LIB,LBN
LIE,LIE
LTU,LTU
LUX,LUX
MAD,MDG
MAR,MAR
MAS,MYS
MAW,MWI
MDA,MDA
MDV,MDV
MEX,MEX
MGL,MNG
MHL,MHL
MKD,MKD
MLI,MLI
MLT,MLT
MNE,MNE
MON,MCO
MOZ,MOZ
MRI,MUS
MTN,MRT
MYA,MMR
NAM,NAM
NCA,NIC
NED,NLD
NEP,NPL
NGR,NGA
NIG,NER
NOR,NOR
NRU,NRU
NZL,NZL
OMA,OMN
PAK,PAK
PAN,PAN
PAR,PRY
PER,PER
PHI,PHL
PLE,PSE
PLW,PLW
PNG,PNG
POL,POL
POR,PRT
PRK,PRK
PUR,PRI
QAT,QAT
ROC,RUS
ROU,ROU
RSA,ZAF
RUS,RUS
RWA,RWA
SAM,WSM
SEN,SEN
SER,SRB
SEY,SYC
SGP,SGP
SKN,KNA
SLE,SLE
SLO,SVN
SMR,SMR
SOL,SLB
SOM,SOM
SRB,SRB
SRI,LKA
SSD,SSD
STP,STP
SUD,SDN
SUI,CHE
SUR,SUR
SVK,SVK
SWE,SWE
SWZ,SWZ
SYR,SYR
TAN,TZA
TGA,TON
THA,THA
TJK,TJK
TKM,TKM
TLS,TLS
TOG,TGO
TPE,TWN
TTO,TTO
TUN,TUN
TUR,TUR
TUV,TUV
UAE,ARE
UGA,UGA
UKR,UKR
URS,RUS
URU,URY
USA,USA
UZB,UZB
VAN,VUT
VEN,VEN
VIE,VNM
WIF,JAM
YEM,YEM
YUG,SRB
ZAM,ZMB
ZIM,ZWE
